Team Name,Team Points,Rushing TDs,Punt Return Yards,Punt Returns,Passing TDs,Kick Return Yards,Kick Returns,Kicking Points,Tackles For Loss,Defensive TDs,Tackles,Sacks,QB Hurries,Passes Deflected,Possession Time,Interceptions,Turnovers,Total Penalties Yards,Yards Per Rush Attempt,Rushing Attempts,Rushing Yards,Yards Per Pass,Completion Attempts,Net Passing Yards,Total Yards,Fourth Down Effects,Third Down Effects,First Downs
UCF,35,2,-3,1,3,13,1,3,1,0,32,0,3,4,32:54,0,0,5-45,5.4,54,289,10.5,13-22,230,519,0,0,30
TCU,34,0,33,3,4,0,0,10,3,0,36,0,3,1,27:06,0,0,4-40,3.4,17,58,7.6,35-53,402,460,0,0,26
UCF,13,1,0,0,0,33,2,7,4,0,37,0,0,2,27:44,1,1,6-39,2.7,40,108,7.5,12-22,165,273,0,0,20
Florida,24,2,0,0,1,12,1,6,7,0,30,5,0,3,32:16,0,0,8-64,4.1,32,130,8.2,23-28,229,359,0,0,18
Arizona State,35,0,46,1,3,45,2,5,4,2,38,3,4,3,28:40,0,0,5-41,3.1,32,99,6.4,16-25,161,260,0,0,18
UCF,31,4,0,0,0,5,2,7,7,0,29,2,2,2,31:20,1,1,9-80,4.8,37,177,6.7,24-34,229,406,0,0,26
Arizona,12,0,0,0,2,107,6,0,5,0,41,0,1,1,28:39,0,1,10-100,0.2,25,5,7.8,24-33,256,261,0,0,14
UCF,56,5,0,0,3,0,0,8,10,0,41,4,2,3,31:21,0,0,5-40,7.0,44,308,11.8,20-25,294,602,0,0,33
UCF,57,5,107,8,2,84,3,13,7,0,29,0,5,3,29:33,1,2,3-35,8.4,54,454,8.4,11-22,185,639,0,0,27
New Hampshire,3,0,0,0,0,81,4,3,3.5,0,47,1,0,4,30:27,2,2,7-40,2.3,29,67,3.4,14-28,95,162,0,0,9
UCF,21,1,25,2,2,107,5,3,8,0,40,2,1,2,30:03,2,4,7-80,4.0,44,177,8.1,20-35,284,461,0,0,24
Colorado,48,2,27,1,3,0,0,12,13,1,60,5,0,5,29:57,1,1,10-75,4.4,29,128,8.3,28-35,290,418,0,0,26
UCF,24,2,0,0,1,22,2,4,8,0,46,3,3,1,19:32,2,2,5-55,6.2,29,181,7.3,14-27,198,379,0,0,18
BYU,37,2,6,1,2,0,0,13,2,0,36,1,2,3,40:28,0,1,8-50,5.3,48,255,9.5,16-24,228,483,0,0,29
UCF,45,6,13,1,0,20,1,9,7,0,33,1,2,1,34:03,0,1,6-45,6.7,57,384,10.0,14-17,170,554,0,0,29
Sam Houston,14,0,0,0,2,38,2,2,3,0,50,2,1,1,25:57,2,2,6-35,2.3,29,68,9.1,17-24,219,287,0,0,12
UCF,35,4,15,2,0,38,2,5,7,1,42,3,7,5,22:32,2,2,7-44,9.1,39,354,3.1,8-20,62,416,0,0,14
Iowa State,38,4,52,2,1,31,2,6,5,0,24,0,3,1,37:28,2,2,2-10,5.3,48,256,6.0,20-46,274,530,0,0,28
Cincinnati,19,1,11,1,1,0,0,7,7,0,42,4,0,4,33:44,2,2,6-33,3.0,32,97,6.3,25-38,241,338,0,0,19
UCF,13,0,0,1,1,33,2,7,8,0,45,2,2,2,26:16,0,2,10-75,4.9,40,196,8.4,14-24,201,397,0,0,19
